stn_id,stn_addr,stn_lat,stn_lng,nearby_id,nearby_km
ST-8,서울특별시 마포구 독막로 4,37.548645,126.912827,ST-7,0.2322973797056127
ST-799,서울특별시 강남구 봉은사로 지하 601,37.514248,127.061119,ST-2672,0.051053797038165795
ST-798,서울특별시 강남구 삼성동 111-4,37.521015,127.06015,ST-3164,0.26023854651409245
ST-797,서울특별시 강남구 테헤란로 501,37.507233,127.056854,ST-802,0.204008511826428
ST-796,서울특별시 강남구 도산대로 539,37.525116,127.052467,ST-2839,0.32499519319717163
ST-795,서울특별시 강남구 영동대로 703,37.52058,127.056328,ST-953,0.09616186438665916
ST-794,서울특별시 강남구 학동로 지하 508,37.523613,127.040176,ST-1174,0.15399450139409818
ST-793,서울특별시 강남구 압구정로 311,37.529301,127.035599,ST-792,0.3182965068825653
ST-792,서울특별시 강남구 압구정로 339-2 가로판매,37.528381,127.039017,ST-1895,0.16157745162257
ST-791,서울특별시 강남구 압구정로 지하 172,37.527123,127.028717,ST-1170,0.0509284422564619
ST-790,서울특별시 강남구 언주로 734,37.520641,127.034508,ST-961,0.2361040785263852
ST-79,서울특별시 마포구 월드컵북로60길 17,37.583481,126.886696,ST-80,0.12164286646415698
ST-789,서울특별시 강남구 언주로 619 대현그린타워,37.511627,127.035652,ST-1567,0.2944878835269727
ST-788,서울특별시 강남구 학동로 102 논현역,37.511372,127.021461,ST-1555,0.536323102476208
ST-787,서울특별시 강남구 봉은사로 지하 102,37.505581,127.024277,ST-1926,0.0635239434502515
ST-786,서울특별시 강남구 학동로 지하 508,37.517773,127.043022,ST-963,0.24888502424002068
ST-785,서울특별시 강남구 자곡로 101,37.472919,127.095886,ST-1407,0.05438374893081532
ST-784,서울특별시 강남구 영동대로112길 66,37.515888,127.0662,ST-799,0.4838229529078645
ST-783,서울특별시 강남구 학동로 443,37.518902,127.049385,ST-1575,0.13093922694593602
ST-782,서울특별시 강남구 영동대로 101,37.492077,127.071976,ST-1574,0.10842757093123857
ST-781,서울특별시 서초구 바우뫼로12길 70,37.467506,127.034477,ST-1363,0.3154446842698193
ST-780,서울특별시 서초구 잠원로4길 지하 46,37.512989,127.011177,ST-776,0.3967036127219073
ST-78,서울특별시 마포구 가양대로 189,37.58559,126.884727,ST-991,0.14313028921318574
ST-779,서울특별시 강남구 헌릉로590길 10,37.465061,127.101196,ST-1890,0.20607155125490245
ST-778,서울특별시 강남구 헌릉로 623,37.465317,127.107727,ST-2675,0.0950241040298104
ST-777,서울특별시 강남구 압구정로 134,37.524071,127.02179,ST-2673,0.09507556831630398
ST-776,서울특별시 서초구 잠원로 145-9,37.516197,127.009209,ST-780,0.3967036127219073
ST-775,서울특별시 강남구 논현로2길 22,37.471539,127.050591,ST-1563,0.08350763216933166
